Symbol,Name,IPOyear,Sector,Industry
AB,AllianceBernstein Holding L.P.,n/a,Finance,Investment Managers
LNT,Alliant Energy Corporation,n/a,Public Utilities,Power Generation
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,2017,n/a,n/a
NCV,AllianzGI Convertible & Income Fund,2003,n/a,n/a
NCZ,AllianzGI Convertible & Income Fund II,2003,n/a,n/a
ACV,AllianzGI Diversified Income & Convertible Fund,2015,n/a,n/a
NIE,AllianzGI Equity & Convertible Income Fund,2007,n/a,n/a
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",2005,Finance,Finance: Consumer Services
ALSN,"Allison Transmission Holdings, Inc.",2012,Capital Goods,Auto Parts:O.E.M.
ALL,Allstate Corporation (The),n/a,Finance,Property-Casualty Insurers
ALL^A,Allstate Corporation (The),n/a,n/a,n/a
ALL^B,Allstate Corporation (The),n/a,n/a,n/a
ALL^C,Allstate Corporation (The),n/a,n/a,n/a
ALL^D,Allstate Corporation (The),n/a,n/a,n/a
ALL^E,Allstate Corporation (The),n/a,n/a,n/a
ALL^F,Allstate Corporation (The),n/a,n/a,n/a
ALLY,Ally Financial Inc.,2014,Finance,Finance: Consumer Services
ALLY^A,Ally Financial Inc.,n/a,n/a,n/a
AGD,Alpine Global Dynamic Dividend Fund,2006,n/a,n/a
AWP,Alpine Global Premier Properties Fund,2007,n/a,n/a
AOD,Alpine Total Dynamic Dividend Fund,2007,n/a,n/a
AYX,"Alteryx, Inc.",2017,Technology,Computer Software: Prepackaged Software
ATUS,"Altice USA, Inc.",2017,Consumer Services,Television Services
MO,Altria Group,n/a,Consumer Non-Durables,Farming/Seeds/Milling
ACH,Aluminum Corporation of China Limited,2001,Basic Industries,Aluminum
AMBR,"Amber Road, Inc.",2014,Technology,Computer Software: Prepackaged Software
ABEV,Ambev S.A.,2013,Consumer Non-Durables,Beverages (Production/Distribution)
AMC,"AMC Entertainment Holdings, Inc.",2013,Consumer Services,Movies/Entertainment
AEE,Ameren Corporation,n/a,Public Utilities,Power Generation
AMRC,"Ameresco, Inc.",2010,Basic Industries,Engineering & Construction
AMOV,"America Movil, S.A.B. de C.V.",n/a,Public Utilities,Telecommunications Equipment
AMX,"America Movil, S.A.B. de C.V.",n/a,Public Utilities,Telecommunications Equipment
AAT,"American Assets Trust, Inc.",2011,Consumer Services,Real Estate Investment Trusts
AXL,"American Axle & Manufacturing Holdings, Inc.",n/a,Capital Goods,Auto Parts:O.E.M.
ACC,American Campus Communities Inc,2004,Consumer Services,Real Estate Investment Trusts
AEO,"American Eagle Outfitters, Inc.",n/a,Consumer Services,Clothing/Shoe/Accessory Stores
AEP,"American Electric Power Company, Inc.",n/a,Public Utilities,Electric Utilities: Central
AEL,American Equity Investment Life Holding Company,2003,Finance,Life Insurance
AXP,American Express Company,n/a,Finance,Finance: Consumer Services
AFG,"American Financial Group, Inc.",n/a,Finance,Property-Casualty Insurers
AFGE,"American Financial Group, Inc.",2014,Finance,Property-Casualty Insurers
AFGH,"American Financial Group, Inc.",2015,Finance,Property-Casualty Insurers
AMH,American Homes 4 Rent,2013,Consumer Services,Real Estate Investment Trusts
AMH^C,American Homes 4 Rent,n/a,n/a,n/a
AMH^D,American Homes 4 Rent,n/a,n/a,n/a
AMH^E,American Homes 4 Rent,n/a,n/a,n/a
AMH^F,American Homes 4 Rent,n/a,n/a,n/a
AMH^G,American Homes 4 Rent,n/a,n/a,n/a
AIG,"American International Group, Inc.",n/a,Finance,Property-Casualty Insurers
AIG.WS,"American International Group, Inc.",n/a,n/a,n/a
AMID,"American Midstream Partners, LP",2011,Public Utilities,Natural Gas Distribution
ARL,"American Realty Investors, Inc.",n/a,Finance,Real Estate
ARA,"American Renal Associates Holdings, Inc",2016,Health Care,Hospital/Nursing Management
AWR,American States Water Company,n/a,Public Utilities,Water Supply
AMT,American Tower Corporation (REIT),n/a,Consumer Services,Real Estate Investment Trusts
AVD,American Vanguard Corporation,n/a,Basic Industries,Agricultural Chemicals
AWK,American Water Works,2008,Public Utilities,Water Supply
COLD,Americold Realty Trust,2018,Consumer Services,Real Estate Investment Trusts
APU,"AmeriGas Partners, L.P.",n/a,Consumer Services,Other Specialty Stores
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",n/a,Finance,Investment Managers
ABC,AmerisourceBergen Corporation (Holding Co),n/a,Health Care,Other Pharmaceuticals
ANFI,Amira Nature Foods Ltd,2012,Consumer Non-Durables,Packaged Foods
AMN,AMN Healthcare Services Inc,n/a,Technology,Professional Services
AP,Ampco-Pittsburgh Corporation,n/a,Capital Goods,Fluid Controls
APH,Amphenol Corporation,n/a,Capital Goods,Electrical Products
AXR,AMREP Corporation,n/a,Consumer Services,Newspapers/Magazines
AME,"AMTEK, Inc.",n/a,Consumer Durables,Metal Fabrications
AFSI^A,"AmTrust Financial Services, Inc.",n/a,n/a,n/a
AFSI^B,"AmTrust Financial Services, Inc.",n/a,n/a,n/a
AFSI^C,"AmTrust Financial Services, Inc.",n/a,n/a,n/a
AFSI^D,"AmTrust Financial Services, Inc.",n/a,n/a,n/a
AFSI^E,"AmTrust Financial Services, Inc.",n/a,n/a,n/a
AFSI^F,"AmTrust Financial Services, Inc.",n/a,n/a,n/a
AFSS,"AmTrust Financial Services, Inc.",2015,Finance,Property-Casualty Insurers
AFST,"AmTrust Financial Services, Inc.",2015,Finance,Property-Casualty Insurers
AEUA,Anadarko Petroleum Corporation,2015,Energy,Oil & Gas Production
APC,Anadarko Petroleum Corporation,n/a,Energy,Oil & Gas Production
ANDV,Andeavor,n/a,Energy,Integrated oil Companies
ANDX,Andeavor Logistics LP,2011,Energy,Natural Gas Distribution
AU,AngloGold Ashanti Limited,n/a,Basic Industries,Precious Metals
BUD,Anheuser-Busch Inbev SA,n/a,Consumer Non-Durables,Beverages (Production/Distribution)
AXE,Anixter International Inc.,n/a,Consumer Non-Durables,Telecommunications Equipment
NLY,Annaly Capital Management Inc,n/a,Consumer Services,Real Estate Investment Trusts
NLY^C,Annaly Capital Management Inc,n/a,n/a,n/a
NLY^D,Annaly Capital Management Inc,n/a,n/a,n/a
NLY^F,Annaly Capital Management Inc,n/a,n/a,n/a
NLY^G,Annaly Capital Management Inc,n/a,n/a,n/a
AMGP,Antero Midstream GP LP,2017,Public Utilities,Natural Gas Distribution
AM,Antero Midstream Partners LP,2014,Public Utilities,Natural Gas Distribution
AR,Antero Resources Corporation,2013,Energy,Oil & Gas Production
ANTM,"Anthem, Inc.",n/a,Health Care,Medical Specialities
ANTX,"Anthem, Inc.",2015,Health Care,Medical Specialities
ANH,Anworth Mortgage Asset  Corporation,n/a,Consumer Services,Real Estate Investment Trusts
ANH^A,Anworth Mortgage Asset  Corporation,n/a,n/a,n/a
ANH^B,Anworth Mortgage Asset  Corporation,n/a,n/a,n/a
ANH^C,Anworth Mortgage Asset  Corporation,n/a,n/a,n/a
AON,Aon plc,n/a,Finance,Specialty Insurers
APA,Apache Corporation,n/a,Energy,Oil & Gas Production
AIV,Apartment Investment and Management Company,1994,Consumer Services,Real Estate Investment Trusts
AIV^A,Apartment Investment and Management Company,n/a,n/a,n/a
ARI,Apollo Commercial Real Estate Finance,2009,Consumer Services,Real Estate Investment Trusts
ARI^C,Apollo Commercial Real Estate Finance,n/a,n/a,n/a
APO,"Apollo Global Management, LLC",2011,Finance,Investment Managers
APO^A,"Apollo Global Management, LLC",n/a,n/a,n/a
AIY,Apollo Investment Corporation,2013,n/a,n/a
AFT,Apollo Senior Floating Rate Fund Inc.,2011,n/a,n/a
AIF,Apollo Tactical Income Fund Inc.,2013,n/a,n/a
APLE,"Apple Hospitality REIT, Inc.",2015,Consumer Services,Real Estate Investment Trusts
AIT,"Applied Industrial Technologies, Inc.",n/a,Consumer Durables,Industrial Specialties
ATR,"AptarGroup, Inc.",n/a,Consumer Non-Durables,Plastic Products
APTV,Aptiv PLC,2011,Capital Goods,Auto Parts:O.E.M.
WTR,"Aqua America, Inc.",n/a,Public Utilities,Water Supply
AQ,Aquantia Corp.,2017,Technology,Semiconductors
WAAS,AquaVenture Holdings Limited,2016,Public Utilities,Water Supply
ARMK,Aramark,2013,Consumer Services,Restaurants
ABR,Arbor Realty Trust,2004,Consumer Services,Real Estate Investment Trusts
ABR^A,Arbor Realty Trust,n/a,n/a,n/a
ABR^B,Arbor Realty Trust,n/a,n/a,n/a
ABR^C,Arbor Realty Trust,n/a,n/a,n/a
ABRN,Arbor Realty Trust,2014,Consumer Services,Real Estate Investment Trusts
ARC,"ARC Document Solutions, Inc.",2004,Consumer Services,Professional Services
MT,ArcelorMittal,n/a,Basic Industries,Steel/Iron Ore
ARCH,"Arch Coal, Inc.",2016,Energy,Coal Mining
ADM,Archer-Daniels-Midland Company,n/a,Consumer Non-Durables,Packaged Foods
AROC,"Archrock, Inc.",n/a,Public Utilities,Natural Gas Distribution
ARNC,Arconic Inc.,n/a,Capital Goods,Metal Fabrications
ARCO,Arcos Dorados Holdings Inc.,2011,Consumer Services,Restaurants
ARD,Ardagh Group S.A.,2017,Consumer Durables,Containers/Packaging
ASC,Ardmore Shipping Corporation,2013,Transportation,Marine Transportation
AFC,Ares Capital Corporation,n/a,n/a,n/a
ACRE,Ares Commercial Real Estate Corporation,2012,Consumer Services,Real Estate Investment Trusts
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",2012,n/a,n/a
ARES,Ares Management L.P.,2014,Finance,Investment Managers
ARES^A,Ares Management L.P.,n/a,n/a,n/a
AGX,"Argan, Inc.",n/a,Basic Industries,Engineering & Construction
ANET,"Arista Networks, Inc.",2014,Technology,Computer Communications Equipment
AI,Arlington Asset Investment Corp,n/a,Finance,Finance/Investors Services
AI^B,Arlington Asset Investment Corp,n/a,n/a,n/a
AIC,Arlington Asset Investment Corp,2015,Finance,Finance/Investors Services
AIW,Arlington Asset Investment Corp,n/a,Finance,Finance/Investors Services
AHH,"Armada Hoffler Properties, Inc.",2013,Finance,Real Estate
ARR,"ARMOUR Residential REIT, Inc.",n/a,Consumer Services,Real Estate Investment Trusts
ARR^A,"ARMOUR Residential REIT, Inc.",n/a,n/a,n/a
ARR^B,"ARMOUR Residential REIT, Inc.",n/a,n/a,n/a
AFI,"Armstrong Flooring, Inc.",2016,Consumer Non-Durables,Plastic Products
AWI,Armstrong World Industries Inc,n/a,Consumer Non-Durables,Plastic Products
ARW,"Arrow Electronics, Inc.",n/a,Consumer Non-Durables,Electronic Components
AJG,Arthur J. Gallagher & Co.,n/a,Finance,Specialty Insurers
APAM,Artisan Partners Asset Management Inc.,2013,Finance,Investment Managers
ASA,ASA Gold and Precious Metals Limited,n/a,n/a,n/a
ABG,Asbury Automotive Group Inc,2002,Consumer Durables,Automotive Aftermarket
AHP,"Ashford Hospitality Prime, Inc.",2013,Consumer Services,Real Estate Investment Trusts
AHP^B,"Ashford Hospitality Prime, Inc.",n/a,n/a,n/a
AHT,Ashford Hospitality Trust Inc,2003,Consumer Services,Real Estate Investment Trusts
AHT^D,Ashford Hospitality Trust Inc,n/a,n/a,n/a
AHT^F,Ashford Hospitality Trust Inc,n/a,n/a,n/a
AHT^G,Ashford Hospitality Trust Inc,n/a,n/a,n/a
AHT^H,Ashford Hospitality Trust Inc,n/a,n/a,n/a
AHT^I,Ashford Hospitality Trust Inc,n/a,n/a,n/a
ASH,Ashland Global Holdings Inc.,n/a,Consumer Durables,Specialty Chemicals
APB,"Asia Pacific Fund, Inc. (The)",n/a,n/a,n/a
GRR,"Asia Tigers Fund, Inc. (The)",n/a,n/a,n/a
ASPN,"Aspen Aerogels, Inc.",2014,Consumer Services,RETAIL: Building Materials
AHL,Aspen Insurance Holdings Limited,2003,Finance,Property-Casualty Insurers
AHL^C,Aspen Insurance Holdings Limited,n/a,n/a,n/a
AHL^D,Aspen Insurance Holdings Limited,n/a,n/a,n/a
ASB,Associated Banc-Corp,n/a,Finance,Major Banks
ASB^C,Associated Banc-Corp,n/a,n/a,n/a
ASB^D,Associated Banc-Corp,n/a,n/a,n/a
AC,"Associated Capital Group, Inc.",2015,Finance,Investment Bankers/Brokers/Service
AIZ,"Assurant, Inc.",2004,Finance,Accident &Health Insurance
AGO,Assured Guaranty Ltd.,2004,Finance,Property-Casualty Insurers
AGO^B,Assured Guaranty Ltd.,n/a,n/a,n/a
AGO^E,Assured Guaranty Ltd.,n/a,n/a,n/a
AGO^F,Assured Guaranty Ltd.,n/a,n/a,n/a
AZN,Astrazeneca PLC,n/a,Health Care,Major Pharmaceuticals
HOME,At Home Group Inc.,2016,Consumer Services,Home Furnishings
T,AT&T Inc.,n/a,Public Utilities,Telecommunications Equipment
TBB,AT&T Inc.,2017,Public Utilities,Telecommunications Equipment
ATTO,Atento S.A.,2014,Public Utilities,Telecommunications Equipment
ATH,Athene Holding Ltd.,2016,Finance,Life Insurance
ATKR,Atkore International Group Inc.,2016,Miscellaneous,Industrial Machinery/Components
AT,Atlantic Power Corporation,n/a,Energy,Electric Utilities: Central
ATO,Atmos Energy Corporation,n/a,Public Utilities,Oil/Gas Transmission
AUO,AU Optronics Corp,2002,Technology,Semiconductors
ATHM,Autohome Inc.,2013,Technology,EDP Services
ALV,"Autoliv, Inc.",n/a,Capital Goods,Auto Parts:O.E.M.
AN,"AutoNation, Inc.",n/a,Consumer Durables,Automotive Aftermarket
AZO,"AutoZone, Inc.",n/a,Consumer Services,Other Specialty Stores
AVB,"AvalonBay Communities, Inc.",n/a,Consumer Services,Real Estate Investment Trusts
AGR,"Avangrid, Inc.",2015,Public Utilities,Electric Utilities: Central
AVYA,Avaya Holdings Corp.,n/a,Public Utilities,Telecommunications Equipment
AVY,Avery Dennison Corporation,n/a,Consumer Durables,Containers/Packaging
AVH,Avianca Holdings S.A.,2013,Transportation,Air Freight/Delivery Services
AVA,Avista Corporation,n/a,Public Utilities,Power Generation
AVT,"Avnet, Inc.",n/a,Consumer Non-Durables,Electronic Components
AVP,"Avon Products, Inc.",n/a,Consumer Non-Durables,Package Goods/Cosmetics
AVX,AVX Corporation,n/a,Capital Goods,Electrical Products
AXTA,Axalta Coating Systems Ltd.,2014,Basic Industries,Paints/Coatings
AXS,Axis Capital Holdings Limited,2003,Finance,Property-Casualty Insurers
AXS^D,Axis Capital Holdings Limited,n/a,n/a,n/a
AXS^E,Axis Capital Holdings Limited,n/a,n/a,n/a
AZUL,Azul S.A.,2017,Transportation,Air Freight/Delivery Services
AZRE,Azure Power Global Limited,2016,Public Utilities,Electric Utilities: Central
AZZ,AZZ Inc.,n/a,Consumer Durables,Building Products
BGS,"B&G Foods, Inc.",n/a,Consumer Non-Durables,Packaged Foods
BW,Babcock,2015,Capital Goods,Building Products
BGH,Babson Global Short Duration High Yield Fund,2012,n/a,n/a
BMI,"Badger Meter, Inc.",n/a,Capital Goods,Industrial Machinery/Components
BHGE,"Baker Hughes, a GE company",2017,Energy,Metal Fabrications
BBN,BalckRock Taxable Municipal Bond Trust,2010,n/a,n/a
BLL,Ball Corporation,n/a,Consumer Durables,Containers/Packaging
BANC,"Banc of California, Inc.",n/a,Finance,Major Banks
BANC^C,"Banc of California, Inc.",n/a,n/a,n/a
BANC^D,"Banc of California, Inc.",n/a,n/a,n/a
BANC^E,"Banc of California, Inc.",n/a,n/a,n/a
BBVA,Banco Bilbao Viscaya Argentaria S.A.,n/a,Finance,Commercial Banks
BBD,Banco Bradesco Sa,n/a,Finance,Major Banks
BBDO,Banco Bradesco Sa,n/a,Finance,Major Banks
BCH,Banco De Chile,n/a,Finance,Commercial Banks
BLX,"Banco Latinoamericano de Comercio Exterior, S.A.",1992,Finance,Commercial Banks
BSMX,"Banco Santander (M?xico), S.A., Instituci?n de Ban",2012,Finance,Commercial Banks
BSBR,Banco Santander Brasil SA,2009,Finance,Commercial Banks
BSAC,Banco Santander Chile,n/a,Finance,Commercial Banks
SAN,"Banco Santander, S.A.",n/a,Finance,Commercial Banks
SAN^A,"Banco Santander, S.A.",n/a,n/a,n/a
SAN^B,"Banco Santander, S.A.",n/a,n/a,n/a
SAN^C,"Banco Santander, S.A.",n/a,n/a,n/a
SAN^I,"Banco Santander, S.A.",n/a,n/a,n/a
CIB,BanColombia S.A.,n/a,Finance,Commercial Banks
BXS,BancorpSouth Bank,n/a,Finance,Major Banks
BAC,Bank of America Corporation,n/a,Finance,Major Banks
BAC.WS.A,Bank of America Corporation,n/a,n/a,n/a
BAC.WS.B,Bank of America Corporation,n/a,n/a,n/a
BAC^A,Bank of America Corporation,n/a,n/a,n/a
BAC^C,Bank of America Corporation,n/a,n/a,n/a
BAC^D,Bank of America Corporation,n/a,n/a,n/a
BAC^E,Bank of America Corporation,n/a,n/a,n/a
BAC^I,Bank of America Corporation,n/a,n/a,n/a
BAC^L,Bank of America Corporation,n/a,n/a,n/a
BAC^W,Bank of America Corporation,n/a,Finance,Major Banks
BAC^Y,Bank of America Corporation,n/a,Finance,Major Banks
BML^G,Bank of America Corporation,n/a,n/a,n/a
BML^H,Bank of America Corporation,n/a,n/a,n/a
BML^I,Bank of America Corporation,n/a,n/a,n/a
BML^J,Bank of America Corporation,n/a,n/a,n/a
BML^L,Bank of America Corporation,n/a,n/a,n/a
BOH,Bank of Hawaii Corporation,n/a,Finance,Major Banks
BMO,Bank Of Montreal,n/a,Finance,Commercial Banks
NTB,Bank of N.T. Butterfield & Son Limited (The),2016,Finance,Commercial Banks
BK,Bank Of New York Mellon Corporation (The),n/a,Finance,Major Banks
BK^C,Bank Of New York Mellon Corporation (The),n/a,n/a,n/a
BNS,Bank of Nova Scotia (The),n/a,Finance,Major Banks
BKU,"BankUnited, Inc.",2011,Finance,Savings Institutions
BCS,Barclays PLC,n/a,Finance,Commercial Banks
BCS^D,Barclays PLC,n/a,n/a,n/a
MCI,Barings Corporate Investors,n/a,n/a,n/a
MPV,Barings Participation Investors,1988,Consumer Services,Miscellaneous
BNED,"Barnes & Noble Education, Inc",2015,Consumer Services,Other Specialty Stores
BKS,"Barnes & Noble, Inc.",n/a,Consumer Services,Other Specialty Stores
B,"Barnes Group, Inc.",n/a,Capital Goods,Metal Fabrications
ABX,Barrick Gold Corporation,n/a,Basic Industries,Precious Metals
BAS,"Basic Energy Services, Inc.",2005,Energy,Oilfield Services/Equipment
BAX,Baxter International Inc.,n/a,Health Care,Medical/Dental Instruments
BTE,Baytex Energy Corp,n/a,Energy,Oil & Gas Production
BBT,BB&T Corporation,n/a,Finance,Major Banks
BBT^D,BB&T Corporation,n/a,n/a,n/a
BBT^E,BB&T Corporation,n/a,n/a,n/a
BBT^F,BB&T Corporation,n/a,n/a,n/a
BBT^G,BB&T Corporation,n/a,n/a,n/a
BBT^H,BB&T Corporation,n/a,n/a,n/a
BFR,BBVA Banco Frances S.A.,n/a,Finance,Commercial Banks
BBX,BBX Capital Corporation,2017,Finance,Real Estate
BCE,"BCE, Inc.",n/a,Public Utilities,Telecommunications Equipment
BZH,"Beazer Homes USA, Inc.",1994,Capital Goods,Homebuilding
BDX,"Becton, Dickinson and Company",n/a,Health Care,Medical/Dental Instruments
BDXA,"Becton, Dickinson and Company",n/a,Health Care,Medical/Dental Instruments
BDC,Belden Inc,n/a,Basic Industries,Telecommunications Equipment
BDC^B,Belden Inc,n/a,n/a,n/a
BXE,Bellatrix Exploration Ltd,n/a,Energy,Oil & Gas Production
BEL,Belmond Ltd.,n/a,Consumer Services,Hotels/Resorts
BMS,"Bemis Company, Inc.",n/a,Consumer Durables,Containers/Packaging
BHE,"Benchmark Electronics, Inc.",n/a,Technology,Electrical Products
BRK.A,Berkshire Hathaway Inc.,n/a,n/a,n/a
BRK.B,Berkshire Hathaway Inc.,n/a,n/a,n/a
BHLB,"Berkshire Hills Bancorp, Inc.",n/a,Finance,Banks
BERY,"Berry Global Group, Inc.",2012,Consumer Non-Durables,Plastic Products
BBY,"Best Buy Co., Inc.",n/a,Consumer Services,Consumer Electronics/Video Chains
BSTI,BEST Inc.,2017,Transportation,Trucking Freight/Courier Services
BGCA,"BGC Partners, Inc.",2012,Finance,Investment Bankers/Brokers/Service
BHP,BHP Billiton Limited,n/a,Basic Industries,Precious Metals
BBL,BHP Billiton plc,n/a,Energy,Coal Mining
BIG,"Big Lots, Inc.",n/a,Consumer Services,Department/Specialty Retail Stores
BH,Biglari Holdings Inc.,n/a,Consumer Services,Restaurants
BBG,Bill Barrett Corporation,2004,Energy,Oil & Gas Production
BHVN,Biohaven Pharmaceutical Holding Company Ltd.,2017,Health Care,Major Pharmaceuticals
BIO,"Bio-Rad Laboratories, Inc.",n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments
BIO.B,"Bio-Rad Laboratories, Inc.",n/a,n/a,n/a
BITA,Bitauto Holdings Limited,2010,Technology,EDP Services
BKH,Black Hills Corporation,n/a,Public Utilities,Electric Utilities: Central
BKHU,Black Hills Corporation,2015,Public Utilities,Electric Utilities: Central
BKI,"Black Knight, Inc.",2017,Technology,Computer Software: Prepackaged Software
BSM,"Black Stone Minerals, L.P.",2015,Energy,Oil & Gas Production
BB,BlackBerry Limited,n/a,Technology,Computer Software: Prepackaged Software
BGIO,BlackRock 2022 Global Income Opportunity Trust,2017,n/a,n/a
BJZ,Blackrock California Municipal 2018 Term Trust,2001,n/a,n/a
BFZ,BlackRock California Municipal Income Trust,2001,n/a,n/a
CII,Blackrock Capital and Income Strategies Fund Inc,2004,n/a,n/a
BHK,Blackrock Core Bond Trust,2001,n/a,n/a
HYT,"Blackrock Corporate High Yield Fund, Inc.",2003,n/a,n/a
